source_file,total_contacts,deliverable_count,undeliverable_count,unknown_count,deliverable_rate
grok_paralegal_search_mdklegal_com_20251018_022308_w0.json,27,0,27,0,0.0
grok_paralegal_search_shaperolaw_com_20251018_022403_w1.json,3,0,3,0,0.0
grok_paralegal_search_smdklaw_com_20251018_030128_w1.json,4,0,1,3,0.0
grok_paralegal_search_sottileandbarile_com_20251018_033635_w3.json,0,0,0,0,0.0
grok_paralegal_search_slaterzurz_com_20251018_031718_w3.json,6,0,6,0,0.0
grok_paralegal_search_reimerlaw_com_20251018_022013_w1.json,12,7,5,0,58.3
grok_paralegal_search_sottileandbarile_com_20251018_035246_w3.json,3,0,1,2,0.0
grok_paralegal_search_spitzlawfirm_com_20251018_023544_w2.json,2,0,2,0,0.0
grok_paralegal_search_sstrialattorneys_com_20251018_031050_w0.json,7,0,7,0,0.0
grok_paralegal_search_tblaw_com_20251018_030346_w0.json,6,0,6,0,0.0
grok_paralegal_search_squirepb_com_20251018_023805_w0.json,6,0,6,0,0.0
grok_paralegal_search_sobolaw_com_20251018_031352_w2.json,15,0,15,0,0.0
grok_paralegal_search_tittlelawfirm_com_20251018_021643_w0.json,6,0,6,0,0.0
grok_paralegal_search_tt-law_com_20251018_025617_w1.json,4,0,4,0,0.0
grok_paralegal_search_tmslaw_net_20251018_023408_w0.json,6,0,6,0,0.0
grok_paralegal_search_weadvocate_net_20251018_032451_w3.json,2,0,2,0,0.0
grok_paralegal_search_raslg_com_20251018_025854_w3.json,27,0,27,0,0.0
grok_paralegal_search_ralaw_com_20251018_032809_w1.json,25,0,25,0,0.0
grok_paralegal_search_weismaninjury_com_20251018_022602_w2.json,2,0,2,0,0.0
grok_paralegal_search_ursinjurylaw_com_20251018_032643_w2.json,8,0,8,0,0.0
grok_paralegal_search_weinerlaw_com_20251018_025108_w1.json,14,0,14,0,0.0
grok_paralegal_search_ritaohio_com_20251018_025448_w0.json,7,0,1,6,0.0
grok_paralegal_search_zwickerpc_com_20251018_020840_w1.json,27,0,10,17,0.0
grok_paralegal_search_tdplawfirm_com_20251018_023950_w1.json,2,0,1,1,0.0
grok_paralegal_search_weltman_com_20251018_021224_w0.json,39,3,6,30,33.3
grok_paralegal_search_keisgeorge_com_20251018_022804_w1.json,10,0,1,9,0.0
